"都道府県コード又は市区町村コード","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","設置位置","車いす使用者用トイレ","男子大便器洋式","男子大便器和式","男子小便器","女子便器洋式","女子便器和式","共用便器洋式","共用便器和式","トイレットペーパー","ベビーシート","ベビーチェア","オストメイト","備考","経度","緯度","分類"
"131148","東京都","中野区","宮前公園","ミヤマエコウエン","","中野区中央2-39","園内","1","","","1","","","","","あり","なし","なし","なし","","139.678453740389","35.7009583228137","公衆トイレ一覧"
"131148","東京都","中野区","塔の山公園","トウノヤマコウエン","","中野区中央2-7","園内","1","","","1","","","","","あり","なし","なし","なし","","139.681765686375","35.6988436837658","公衆トイレ一覧"
"131148","東京都","中野区","中央西公園","チュウオウニシコウエン","","中野区中央5-27","園内","1","","","1","","","","","あり","なし","なし","なし","","139.663366665533","35.6991350340383","公衆トイレ一覧"
"131148","東京都","中野区","谷戸運動公園","ヤトウンドウコウエン","","中野区中野1-31","園内","1","","","1","","","","1","あり","なし","なし","なし","開放6:30。※10～3月は7:00開放。閉鎖19:00。","139.67495596659","35.702503654653","公衆トイレ一覧"
"131148","東京都","中野区","城山公園","シロヤマコウエン","","中野区中野1-44","園内","1","","1","2","","2","","","あり","なし","なし","なし","","139.673983455785","35.7042805749216","公衆トイレ一覧"
"131148","東京都","中野区","紅葉山公園","モミジヤマコウエン","","中野区中野2-5","園内","1","","1","3","","2","","","あり","なし","なし","なし","","139.671344027899","35.7040048471798","公衆トイレ一覧"
"131148","東京都","中野区","囲桃園公園","カコイモモゾノコウエン","","中野区中野3-20,21","園内","1","1","","1","","","","","あり","あり","あり","専用流し","","139.662442414041","35.7034113851405","公衆トイレ一覧"
"131148","東京都","中野区","上の原公園","ウエノハラコウエン","","中野区東中野2-6","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.680997601986","35.7025461373362","公衆トイレ一覧"
"131148","東京都","中野区","桜山公園","サクラヤマコウエン","","中野区東中野3-22","園内","1","1","","1","","","","","あり","あり","あり","専用流し（給湯あり）","","139.679992565608","35.7071588432862","公衆トイレ一覧"
"131148","東京都","中野区","すみよし公園","スミヨシコウエン","","中野区東中野4-25","園内","","","","","","","","1","あり","なし","なし","なし","","139.687438483098","35.710018794174","公衆トイレ一覧"
"131148","東京都","中野区","南台公園","ミナミダイコウエン","","中野区南台5-7","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.663578979463","35.6811825439445","公衆トイレ一覧"
"131148","東京都","中野区","早稲田通り公園","ワセダドオリコウエン","","中野区野方1-35","園内","1","","","1","","","","","あり","なし","なし","なし","","139.656147391675","35.7096525625923","公衆トイレ一覧"
"131148","東京都","中野区","東山公園","ヒガシヤマコウエン","","中野区野方4-41","園内","1","","","1","","","","","あり","あり","あり","専用流し（給湯あり）","","139.657266715813","35.722305635132","公衆トイレ一覧"
"131148","東京都","中野区","栄町公園","サカエチョウコウエン","","中野区弥生町4-20","園内","1","1","","2","2","","","","あり","あり","あり","専用流し","","139.671450007522","35.6864959084208","公衆トイレ一覧"
"131148","東京都","中野区","弥生公園","ヤヨイコウエン","","中野区弥生町5-4","園内","1","1","","2","","","","","あり","あり","あり","専用流し","","139.666859756961","35.6861538147143","公衆トイレ一覧"
"131148","東京都","中野区","丸太公園","マルタコウエン","","中野区弥生町6-2","園内","","","","","","","","1","あり","なし","なし","なし","","139.662472274252","35.6869178912518","公衆トイレ一覧"
"131148","東京都","中野区","哲学堂公園（児童遊園）","テツガクドウコウエン","","中野区松が丘1-34","園内","1","1","","3","3","","","","あり","なし","なし","なし","","139.674631336072","35.7221667428125","公衆トイレ一覧"
"131148","東京都","中野区","哲学堂公園（桜広場）","テツガクドウコウエン","","中野区松が丘1-34","園内","1","2","","3","3","","","","あり","なし","なし","なし","閉鎖時間あり。詳細は指定管理者03-3951-2515へ","139.673056904227","35.7218379061478","公衆トイレ一覧"
"131148","東京都","中野区","哲学堂公園（桜広場）","テツガクドウコウエン","","中野区松が丘1-34","園内","1","2","","3","3","","","","あり","なし","なし","なし","閉鎖時間あり。詳細は指定管理者03-3951-2515へ","139.675420227041","35.721525547256","公衆トイレ一覧"
"131148","東京都","中野区","中野四季の森公園（芝生エリア）","ナカノシキノモリコウエン","","中野区中野4-12,13","園内","1","3","","4","4","","","","あり","あり","あり","専用流し（給湯あり）","閉鎖時間あり。詳細は指定管理者03-5343-7921へ","139.66128904499","35.7080633975564","公衆トイレ一覧"
"131148","東京都","中野区","中野四季の森公園（イベントエリア）","ナカノシキノモリコウエン","","中野区中野4-12,13","園内","1","","","","","","","","あり","あり","あり","専用流し（給湯仕様付きだがお湯設定無し）","閉鎖時間あり。詳細は指定管理者03-5343-7921へ","139.661647094537","35.7085202328174","公衆トイレ一覧"
"131148","東京都","中野区","杉山公園","スギヤマコウエン","","中野区本町6-15","園内","1","","1","2","1","1","","","あり","あり","あり","便器に水栓併設","","139.667184388726","35.6970215132793","公衆トイレ一覧"
"131148","東京都","中野区","若宮公園","ワカミヤコウエン","","中野区若宮3-21","園内","1","1","","1","","","","","あり","あり","あり","専用流し","","139.643358462125","35.7217665318406","公衆トイレ一覧"
"131148","東京都","中野区","川添公園","カワゾエコウエン","","中野区東中野1-22","園内","1","","","1","","","","","あり","なし","なし","なし","","139.686273398706","35.7036181214731","公衆トイレ一覧"
"131148","東京都","中野区","かせい公園","カセイコウエン","","中野区若宮3-5","園内","","","","","","","","1","あり","なし","なし","なし","","139.646130402043","35.7207561982194","公衆トイレ一覧"
"131148","東京都","中野区","本一公園","ホンイチコウエン","","中野区本町1-23","園内","1","","","","","","","","あり","あり","あり","専用流し（給湯仕様付きだがお湯設定無し）","","139.682629054893","35.6942083945866","公衆トイレ一覧"
"131148","東京都","中野区","中央公園","チュウオウコウエン","","中野区中央5-42","園内","1","","","1","","","","1","あり","なし","なし","なし","","139.66656380571","35.7006611064281","公衆トイレ一覧"
"131148","東京都","中野区","氷川公園","ヒカワコウエン","","中野区東中野1-11","園内","","","","","","","","1","あり","なし","なし","なし","","139.68320647481","35.7030766981442","公衆トイレ一覧"
"131148","東京都","中野区","本町通り公園","ホンチョウドオリコウエン","","中野区中央2-46","園内","","","","1","","","","1","あり","なし","なし","なし","","139.677187374688","35.6990358704951","公衆トイレ一覧"
"131148","東京都","中野区","天神公園","テンジンコウエン","","中野区中野5-8","園内","","","","","","","","1","あり","なし","なし","なし","","139.67194566085","35.7073944973073","公衆トイレ一覧"
"131148","東京都","中野区","大和花公園","ヤマトハナコウエン","","中野区大和町1-54","園内","1","","","1","","","","","あり","なし","なし","なし","","139.649867963257","35.7116789776704","公衆トイレ一覧"
"131148","東京都","中野区","花見公園","ハナミコウエン","","中野区弥生町2-7","園内","","","","1","","","","1","あり","なし","なし","なし","","139.676388823834","35.692322154718","公衆トイレ一覧"
"131148","東京都","中野区","西鷺公園","ニシサギコウエン","","中野区鷺宮6-31","園内","","","","1","","","","1","あり","なし","なし","なし","","139.626305710153","35.7266662558677","公衆トイレ一覧"
"131148","東京都","中野区","若葉公園","ワカバコウエン","","中野区鷺宮5-11","園内","1","","","","","","","","あり","あり","あり","専用流し（給湯あり）","","139.631579315435","35.7251945605238","公衆トイレ一覧"
"131148","東京都","中野区","ささの葉公園","ササノハコウエン","","中野区南台4-14","園内","1","1","","1","","","","","あり","あり","あり","専用流し","","139.666657560746","35.6830109445243","公衆トイレ一覧"
"131148","東京都","中野区","わかたけ公園","ワカタケコウエン","","中野区鷺宮1-5","園内","","","","1","","","","1","あり","なし","なし","なし","","139.647872881982","35.7221518436965","公衆トイレ一覧"
"131148","東京都","中野区","こぐま公園","コグマコウエン","","中野区江原町3-17","園内","","","","","","","","1","あり","なし","なし","なし","","139.673370966108","35.7317806640607","公衆トイレ一覧"
"131148","東京都","中野区","みたけ公園","ミタケコウエン","","中野区鷺宮3-31","園内","","","","","","","","1","あり","なし","なし","なし","","139.639072076172","35.7239042286481","公衆トイレ一覧"
