"全国地方公共団体コード","ID","地方公共団体名","名称","名称_カナ","名称_英語","所在地_全国地方公共団体コード","町字ID","所在地_連結表記","所在地_都道府県","所在地_市区町村","所在地_町字","所在地_番地以下","建物名等(方書)","設置位置","緯度","経度","高度の種別","高度の値","男性トイレ総数","男性トイレ数（小便器）","男性トイレ数（和式）","男性トイレ数（洋式）","女性トイレ総数","女性トイレ数（和式）","女性トイレ数（洋式）","男女共用トイレ総数","男女共用トイレ数（和式）","男女共用トイレ数（洋式）","バリアフリートイレ数","車椅子使用者用トイレ有無","乳幼児用設備設置トイレ有無","オストメイト設置トイレ有無","利用開始時間","利用終了時間","利用可能時間特記事項","画像","画像_ライセンス","備考"
"131083","131083C00015","江東区","江東区立正覚院前公衆便所","コウトウクリツショウカクインマエコウシュウベンジョ","Public_toilet_in_front_of_Shogakuin-Temple_KotoCity","131083","","東京都江東区白河1-3-34","東京都","江東区","白河1丁目","3-34","","正覚院前","35.680798","139.799708","","","2","2","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00016","江東区","江東区立白河一丁目公園内公衆便所","コウトウクリツシラカワイチチョウメコウエンナイコウシュベンジョ","Public_toilet_in_Shirakawa1-Park_KotoCity","131083","","東京都江東区白河1-5-4","東京都","江東区","白河1丁目","5-4","","白河一丁目公園内","35.683230","139.800755","","","1","1","0","0","0","0","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00017","江東区","江東区立東深川橋際公衆便所","コウトウクリツヒガシフカガワバシギワコウシュウベンジョ","Public_toilet_at_Higashihukagawa-Bridge_KotoCity","131083","","東京都江東区白河3-18-17","東京都","江東区","白河3丁目","18-17","","東深川橋南東詰め","35.683770","139.803759","","","1","1","0","0","1","1","0","0","0","0","1","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00018","江東区","江東区立元加賀公園内公衆便所","コウトウクリツモトカガコウエンナイコウシュベンジョ","Public_toilet_in_Motokaga-Park_KotoCity","131083","","東京都江東区白河4-3-27","東京都","江東区","白河4丁目","3-27","","元加賀公園内","35.681761","139.809017","","","2","1","1","0","1","1","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00019","江東区","江東区立佐賀二丁目公衆便所","コウトウクリツサガニチョウメコウエンナイコウシュベンジョ","Public_toilet_Saga2_KotoCity","131083","","東京都江東区佐賀2-1-6","東京都","江東区","佐賀2丁目","1-6","","","35.679932","139.791092","","","3","2","1","0","1","0","1","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00020","江東区","江東区立永代橋際公衆便所","コウトウクリツエイタイバシギワコウシュウベンジョ","Public_toilet_at_Eitai-Bridge_KotoCity","131083","","東京都江東区永代1-1-4","東京都","江東区","永代1丁目","1-4","","永代橋南東詰め","35.675694","139.788923","","","1","1","0","0","1","1","0","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00021","江東区","江東区立黒亀橋際公衆便所","コウトウクリツクロキバシギワコウシュウベンジョ","Public_toilet_at_Kuroki-Bridge_KotoCity","131083","","東京都江東区深川1-3-10先","東京都","江東区","深川1丁目","3-10 先","","深川一丁目児童遊園内","35.675453","139.795974","","","1","1","0","0","0","0","0","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00022","江東区","江東区立亀堀公園内公衆便所","コウトウクリツカメホリコウエンナイコウシュベンジョ","Public_toilet_in_Kamehori-Park_KotoCity","131083","","東京都江東区深川1-6-38","東京都","江東区","深川1丁目","6-38","","亀堀公園内","35.677230","139.794863","","","1","1","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00023","江東区","江東区立臨海公園内公衆便所","コウトウクリツリンカイコウエンナイコウシュベンジョ","Public_toilet_in_Rinkai-Park_KotoCity","131083","","東京都江東区門前仲町1-1-1","東京都","江東区","門前仲町1丁目","1-1","","臨海公園内","35.671923","139.792959","","","2","2","0","0","1","0","1","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00024","江東区","江東区立門前仲町一丁目公衆便所","コウトウクリツモンゼンナカチョウイチチョウメコウシュウベンジョ","Public_toilet_Monzen-nakacho1_KotoCity","131083","","東京都江東区門前仲町1-7-7","東京都","江東区","門前仲町1丁目","7-7","","","35.672844","139.794813","","","3","3","0","0","0","0","0","1","1","0","1","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00025","江東区","江東区立油堀川公園内公衆便所","コウトウクリツアブラボリガワコウエンナイコウシュベンジョ","Public_toilet_in_Aburaborigawa-Park_KotoCity","131083","","東京都江東区門前仲町1-20-1先","東京都","江東区","門前仲町1丁目","20-1 先","","油堀川公園内","35.673980","139.795620","","","1","1","0","0","1","0","1","0","0","0","1","有","無","有","00:00:00","23:59:00","","","",""
"131083","131083C00026","江東区","江東区立深川公園内公衆便所","コウトウクリツフカガワコウエンナイコウシュベンジョ","Public_toilet_in_Fukagawa-Park_KotoCity","131083","","東京都江東区富岡1-14-10","東京都","江東区","富岡1丁目","14-10","","深川公園西側広場内","35.672365","139.797476","","","2","2","0","0","2","2","0","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00027","江東区","江東区立深川公園内第二公衆便所","コウトウクリツフカガワコウエンナイダイニコウシュベンジョ","Public_toilet_in_Fukagawa-Park_KotoCity","131083","","東京都江東区富岡1-16-10","東京都","江東区","富岡1丁目","16-10","","深川公園東側広場内","35.671976","139.798974","","","2","2","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00028","江東区","江東区立汐見橋際公衆便所","コウトウクリツシオミバシギワコウシュウベンジョ","Public_toilet_at_Shiomi-Bridge_KotoCity","131083","","東京都江東区富岡2-13-5","東京都","江東区","富岡2丁目","13-5","","汐見橋南西詰め","35.669544","139.801440","","","2","2","1","0","1","1","0","0","0","0","0","有","無","無","00:00:00","23:59:00","","","",""
"131083","131083C00029","江東区","江東区立牡丹町公園内公衆便所","コウトウクリツボタンチョウコウエンナイコウシュウベンジョ","Public_toilet_in_Botancho-Park_KotoCity","131083","","東京都江東区牡丹2-1-2","東京都","江東区","牡丹2丁目","1-2","","牡丹町公園内","35.669898","139.795253","","","2","2","0","0","1","0","1","0","0","0","1","有","有","有","00:00:00","23:59:00","","","",""
"131083","131083C00030","江東区","江東区立古石場川親水公園内公衆便所","コウトウクリツフルイシバガワシンスイコウエンナイコウシュウベンジョ","Public_toilet_in_Furuishibagawashinsui-Park_KotoCity","131083","","東京都江東区古石場2-13ー先","東京都","江東区","古石場2丁目","13 ー先","","古石場川親水公園内","35.667638","139.799246","","","1","1","0","0","0","0","0","1","0","1","0","無","無","無","00:00:00","23:59:00","","","",""
