管理者種別番号,鉄道駅通し番号,鉄道駅内トイレ通し番号,鉄道会社名,路線名,鉄道駅名,都道府県,市区町村・番地,ビル建物名,トイレ名,設置フロア,経度,緯度,座標系,性別の分け,トイレへの誘導路として点字ブロックを敷設している,トイレの位置等を音声で案内している,戸の形式,車椅子が出入りできる（出入口の有効幅員80cm以上）,車椅子が転回できる（直径150cm以上の円が内接できる）,便座に背もたれがある,便座に手すりがある,オストメイト用設備がある,オストメイト用設備が温水対応している,大型ベッドを備えている,乳幼児用おむつ交換台等を備えている,乳幼児用椅子を備えている,非常用呼び出しボタンを設置している,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,その他,写真データ（トイレの入り口）,写真データ（トイレ内）,写真データ（トイレ内（別角度））,備考,データの作成年月,データの変更年月,データの削除年月
1,1,1,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,B1F,139.699413,35.69078,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_01_3.jpg,駅改良工事に伴い閉鎖中,201901,202401,
1,1,2,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,B1F,139.699413,35.69078,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_02_3.jpg,駅改良工事に伴い閉鎖中,201901,202401,
1,1,3,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,2F,139.699955,35.689631,JGD2011,男性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_03_3.jpg,非常用呼び出しはインターホン,201901,,
1,1,4,小田急電鉄,小田原線,新宿,東京都,新宿区西新宿1丁目1番3号,,多目的トイレ,2F,139.699955,35.689631,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_001_04_3.jpg,非常用呼び出しはインターホン,201901,,
1,2,1,小田急電鉄,小田原線,南新宿,東京都,渋谷区代々木2丁目29番16号,,多目的トイレ,2F,139.698941,35.683703,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_002_01_3.jpg,非常用呼び出しはインターホン,201901,,
1,3,1,小田急電鉄,小田原線,参宮橋,東京都,渋谷区代々木4丁目6番7号,,多目的トイレ,1F,139.693507,35.678625,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_003_01_3.jpg,,201901,202011,
1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201901,,201911
1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201901,,201911
1,4,3,小田急電鉄,小田原線,代々木八幡,東京都,渋谷区代々木5丁目6番1号,,多目的トイレ,2F,139.688794,35.669666,JGD2011,男性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○兼用,×兼用,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_03_3.jpg,点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える,201911,201911,
1,4,4,小田急電鉄,小田原線,代々木八幡,東京都,渋谷区代々木5丁目6番1号,,多目的トイレ,2F,139.688824,35.669677,JGD2011,女性用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○兼用,×兼用,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_04_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_04_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_004_04_3.jpg,点字ブロックはトイレの手前まで／大型ベッドはおむつ交換台としても使える,201911,201911,
1,5,1,小田急電鉄,小田原線,代々木上原,東京都,渋谷区西原3丁目8番5号,,多目的トイレ,1F,139.67994,35.6692,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_005_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_005_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_005_01_3.jpg,,201901,,
1,5,2,小田急電鉄,小田原線,代々木上原,東京都,渋谷区西原3丁目8番5号,,多目的トイレ,1F,139.679978,35.669195,JGD2011,男性用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_005_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_005_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_005_02_3.jpg,,201901,202011,
1,6,1,小田急電鉄,小田原線,東北沢,東京都,世田谷区北沢3丁目1番4号,,ファミリートイレ,1F,139.672875,35.665486,JGD2011,共用,×,×,A.自動引き戸（押しボタン）,○,○,○,○,×,×,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_006_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_006_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_006_01_3.jpg,,201901,,
1,6,2,小田急電鉄,小田原線,東北沢,東京都,世田谷区北沢3丁目1番4号,,多目的トイレ,1F,139.6729,35.665505,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_006_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_006_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_006_02_3.jpg,,201901,,
1,7,1,小田急電鉄,小田原線,下北沢,東京都,世田谷区北沢2丁目24番2号,,多目的トイレ,1F,139.666613,35.661022,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_01_3.jpg,,201901,202211,
1,7,2,小田急電鉄,小田原線,下北沢,東京都,世田谷区北沢2丁目24番2号,,多目的トイレ,1F,139.666613,35.661022,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_02_3.jpg,,201901,202211,
1,7,3,小田急電鉄,小田原線,下北沢,東京都,世田谷区北沢2丁目24番2号,,多目的トイレ,B2F,139.665866,35.660495,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_007_03_3.jpg,,201901,202211,
1,8,1,小田急電鉄,小田原線,世田谷代田,東京都,世田谷区代田2丁目31番12号,,多目的トイレ,1F,139.661273,35.658257,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_008_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_008_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_008_01_3.jpg,,201901,,
1,8,2,小田急電鉄,小田原線,世田谷代田,東京都,世田谷区代田2丁目31番12号,,ファミリートイレ,1F,139.661266,35.658255,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,×,×,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_008_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_008_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_008_02_3.jpg,,201901,202011,
1,9,1,小田急電鉄,小田原線,梅ヶ丘,東京都,世田谷区梅丘1丁目31番21号,,多目的トイレ,1F,139.653609,35.655937,JGD2011,共用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_009_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_009_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_009_01_3.jpg,,201901,,
1,10,1,小田急電鉄,小田原線,豪徳寺,東京都,世田谷区豪徳寺1丁目43番4号,,多目的トイレ,1F,139.647552,35.653716,JGD2011,共用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_010_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_010_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_010_01_3.jpg,,201901,,
1,11,1,小田急電鉄,小田原線,経堂,東京都,世田谷区経堂2丁目1番3号,,多目的トイレ,1F,139.636437,35.651324,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_011_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_011_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_011_01_3.jpg,,201901,,
1,12,1,小田急電鉄,小田原線,千歳船橋,東京都,世田谷区船橋1丁目1番5号,,多目的トイレ,1F,139.624147,35.647479,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_012_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_012_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_012_01_3.jpg,,201901,,
1,13,1,小田急電鉄,小田原線,祖師ヶ谷大蔵,東京都,世田谷区祖師谷1丁目7番1号,,多目的トイレ,1F,139.609625,35.643316,JGD2011,共用,×,×,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_013_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_013_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_013_01_3.jpg,,201901,,
1,14,1,小田急電鉄,小田原線,成城学園前,東京都,世田谷区成城6丁目5番34号,,多目的トイレ,1F,139.598556,35.639909,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_014_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_014_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_014_01_3.jpg,,201901,,
1,15,1,小田急電鉄,小田原線,喜多見,東京都,世田谷区喜多見9丁目2番26号,,多目的トイレ,1F,139.587416,35.636795,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,×,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_015_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_015_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_015_01_3.jpg,,201901,,
1,16,1,小田急電鉄,小田原線,狛江,東京都,狛江市東和泉1丁目17番1号,,多目的トイレ,1F,139.577395,35.632317,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,×,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_016_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_016_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_016_01_3.jpg,,201901,,
1,17,1,小田急電鉄,小田原線,和泉多摩川,東京都,狛江市東和泉4丁目2番1号,,多目的トイレ,1F,139.57345,35.627078,JGD2011,共用,×,○,B.自動引き戸（センサー）,○,○,×,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_017_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_017_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_017_01_3.jpg,,201901,,
1,18,1,小田急電鉄,小田原線,鶴川,東京都,町田市能ヶ谷1丁目6番3号,,多目的トイレ,1F,139.48171,35.583182,JGD2011,男性用,×,○,B.自動引き戸（センサー）,○,×,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_018_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_018_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_018_01_3.jpg,,201901,202011,
1,18,2,小田急電鉄,小田原線,鶴川,東京都,町田市能ヶ谷1丁目6番3号,,多目的トイレ,1F,139.48171,35.583182,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,×,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_018_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_018_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_018_02_3.jpg,,201901,202011,
1,19,1,小田急電鉄,小田原線,玉川学園前,東京都,町田市玉川学園2丁目21番9号,,多目的トイレ,2F,139.463303,35.563266,JGD2011,男性用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_019_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_019_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_019_01_3.jpg,,201901,,
1,19,2,小田急電鉄,小田原線,玉川学園前,東京都,町田市玉川学園2丁目21番9号,,多目的トイレ,2F,139.463296,35.563269,JGD2011,女性用,○,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_019_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_019_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_019_02_3.jpg,,201901,,
1,20,1,小田急電鉄,小田原線,町田,東京都,町田市原町田6丁目12番20号,,多目的トイレ,1F,139.445244,35.544367,JGD2011,男性用,×,○,C.手動引き戸,○,○,○,○,○,×,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_01_3.jpg,,201901,,
1,20,2,小田急電鉄,小田原線,町田,東京都,町田市原町田6丁目12番20号,,多目的トイレ,1F,139.445253,35.544363,JGD2011,女性用,×,○,C.手動引き戸,○,○,○,○,○,×,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_02_3.jpg,,201901,,
1,20,3,小田急電鉄,小田原線,町田,東京都,町田市原町田6丁目12番20号,,多目的トイレ,1F,139.445236,35.544149,JGD2011,男性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_03_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_03_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_03_3.jpg,,201901,,
1,20,4,小田急電鉄,小田原線,町田,東京都,町田市原町田6丁目12番20号,,多目的トイレ,1F,139.445161,35.544253,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_04_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_04_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_020_04_3.jpg,,201901,,
1,21,1,小田急電鉄,多摩線,小田急永山,東京都,多摩市永山1丁目18番23号,,多目的トイレ,1F,139.448366,35.629884,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_021_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_021_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_021_01_3.jpg,,201901,,
1,21,2,小田急電鉄,多摩線,小田急永山,東京都,多摩市永山1丁目18番23号,,多目的トイレ,1F,139.448394,35.629931,JGD2011,男性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_021_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_021_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_021_02_3.jpg,,201901,,
1,22,1,小田急電鉄,多摩線,小田急多摩センター,東京都,多摩市落合1丁目11番2号,,多目的トイレ,1F,139.42463,35.625173,JGD2011,男性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_022_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_022_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_022_01_3.jpg,,201901,,
1,22,2,小田急電鉄,多摩線,小田急多摩センター,東京都,多摩市落合1丁目11番2号,,多目的トイレ,1F,139.424604,35.625167,JGD2011,女性用,×,○,B.自動引き戸（センサー）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_022_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_022_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_022_02_3.jpg,,201901,,
1,23,1,小田急電鉄,多摩線,唐木田,東京都,多摩市唐木田1丁目2番1号,,多目的トイレ,1F,139.411285,35.615912,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,×,○,○,×,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_023_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_023_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/01_023_01_3.jpg,,201901,,
2,1,1,京王電鉄,京王線,新宿,東京都,新宿区西新宿1丁目1番4号、18号,,多機能トイレ,B2F,139.699034,35.690711,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_001_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_001_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_001_01_3.jpg,,201901,202111,
2,1,2,京王電鉄,京王線,新宿,東京都,新宿区西新宿1丁目1番4号、18号,,多機能トイレ,B1F,139.699294,35.688654,JGD2011,共用,×,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_001_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_001_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_001_02_3.jpg,,202011,202211,
2,2,1,京王電鉄,京王線,初台,東京都,渋谷区初台1丁目53番7号,,だれでもトイレ,B1F,139.686178,35.681131,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_002_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_002_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_002_01_3.jpg,,201901,,
2,3,1,京王電鉄,京王線,初台東口,東京都,渋谷区初台1丁目53番7号,,だれでもトイレ,B2F,139.686911,35.681574,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,○,×,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_003_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_003_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/02_003_01_3.jpg,,201901,,
