管理者種別番号,鉄道駅通し番号,鉄道駅内トイレ通し番号,鉄道会社名,路線名,鉄道駅名,都道府県,市区町村・番地,ビル建物名,トイレ名,設置フロア,経度,緯度,座標系,性別の分け,トイレへの誘導路として点字ブロックを敷設している,トイレの位置等を音声で案内している,戸の形式,車椅子が出入りできる（出入口の有効幅員80cm以上）,車椅子が転回できる（直径150cm以上の円が内接できる）,便座に背もたれがある,便座に手すりがある,オストメイト用設備がある,オストメイト用設備が温水対応している,大型ベッドを備えている,乳幼児用おむつ交換台等を備えている,乳幼児用椅子を備えている,非常用呼び出しボタンを設置している,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,その他,写真データ（トイレの入り口）,写真データ（トイレ内）,写真データ（トイレ内（別角度））,備考,データの作成年月,データの変更年月,データの削除年月
14,33,1,東日本旅客鉄道,東北線,王子,東京都,北区王子1丁目,,多機能トイレ,1F,139.7377,35.75293,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_033_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_033_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_033_01_3.jpg,,201901,,
14,34,1,東日本旅客鉄道,東北線,東十条,東京都,北区東十条3丁目,,多機能トイレ,2F,139.7263,35.76476,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_034_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_034_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_034_01_3.jpg,,201901,,
14,35,1,東日本旅客鉄道,東北線/赤羽線（埼京線）/東北線（埼京線）,赤羽,東京都,北区赤羽1丁目,,多機能化粧室,1F,139.7215,35.77715,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_035_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_035_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_035_01_3.jpg,,201901,201911,
14,36,1,東日本旅客鉄道,東北線,尾久,東京都,北区昭和町1丁目,,多機能トイレ,1F,139.7546,35.74667,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_036_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_036_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_036_01_3.jpg,,201901,,
14,37,1,東日本旅客鉄道,東北線（埼京線）,北赤羽,東京都,北区赤羽北2丁目,,多機能トイレ,1F,139.7047,35.7876,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_037_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_037_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_037_01_3.jpg,,201901,,
14,37,2,東日本旅客鉄道,東北線（埼京線）,北赤羽,東京都,北区赤羽北2丁目,,多機能トイレ,1F,139.707625,35.786066,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,○,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_037_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_037_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_037_02_3.jpg,,202011,202011,
14,38,1,東日本旅客鉄道,東北線（埼京線）,浮間舟渡,東京都,北区浮間4丁目,,多機能トイレ,1F,139.6916,35.79109,JGD2011,共用,○,×,A.自動引き戸（押しボタン）,○,×,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_038_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_038_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_038_01_3.jpg,,201901,,
14,39,1,東日本旅客鉄道,常磐線,三河島,東京都,荒川区西日暮里1丁目,,多機能トイレ,1F,139.7778,35.73323,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_039_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_039_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_039_01_3.jpg,,201901,,
14,40,1,東日本旅客鉄道,常磐線,南千住,東京都,荒川区南千住4丁目,,多機能トイレ,1F,139.7992,35.73362,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_040_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_040_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_040_01_3.jpg,,201901,,
14,41,1,東日本旅客鉄道,常磐線,北千住,東京都,足立区千住旭町,,多機能トイレ,2F,139.8049,35.74941,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,×,○,○,×,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_041_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_041_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_041_01_3.jpg,,201901,,
14,42,1,東日本旅客鉄道,常磐線,亀有,東京都,葛飾区亀有3丁目,,多機能トイレ,1F,139.8478,35.76671,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,×,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_042_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_042_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_042_01_3.jpg,,201901,,
14,43,1,東日本旅客鉄道,常磐線,金町,東京都,葛飾区金町6丁目,,多機能トイレ,1F,139.8706,35.76966,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_043_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_043_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_043_01_3.jpg,,201901,,
14,44,1,東日本旅客鉄道,総武線,新日本橋,東京都,中央区日本橋室町4丁目,,多機能化粧室,B1F,139.7742,35.68902,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_044_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_044_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_044_01_3.jpg,,201901,,
14,45,1,東日本旅客鉄道,総武線,馬喰町,東京都,中央区日本橋馬喰町1丁目,,多機能化粧室,B1F,139.7817,35.69291,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_045_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_045_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_045_01_3.jpg,,201901,,
14,46,1,東日本旅客鉄道,京葉線,八丁堀,東京都,中央区八丁堀3丁目,,多機能化粧室,1F,139.778392,35.67462,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_046_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_046_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_046_01_3.jpg,,201901,,
14,47,1,東日本旅客鉄道,京葉線,越中島,東京都,江東区越中島2丁目,,多機能化粧室,1F,139.792592,35.667919,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_047_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_047_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_047_01_3.jpg,,201901,,
14,48,1,東日本旅客鉄道,山手線,駒込,東京都,豊島区駒込2丁目,,多機能化粧室,2F,139.7472,35.73665,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_048_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_048_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_048_01_3.jpg,,201901,202011,
14,48,2,東日本旅客鉄道,山手線,駒込,東京都,豊島区駒込2丁目,,多機能トイレ,B1F,139.748993,35.73735,JGD2011,共用,○,×,A.自動引き戸（押しボタン）,○,○,○,○,○,○,×,○,○,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_048_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_048_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_048_02_3.jpg,,202011,202011,
14,49,1,東日本旅客鉄道,山手線,巣鴨,東京都,豊島区巣鴨1丁目,,多機能化粧室,2F,139.7396,35.73359,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_049_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_049_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_049_01_3.jpg,,201901,,
14,50,1,東日本旅客鉄道,山手線,大塚,東京都,豊島区南大塚3丁目,,多機能化粧室,1F,139.7284,35.73178,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_050_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_050_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_050_01_3.jpg,,201901,,
14,51,1,東日本旅客鉄道,山手線/赤羽線（埼京線）,池袋,東京都,豊島区南池袋1丁目,,多機能お手洗い,B1F,139.7111,35.72972,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_051_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_051_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_051_01_3.jpg,,201901,,
14,52,1,東日本旅客鉄道,山手線,目白,東京都,豊島区目白3丁目,,多機能トイレ,2F,139.7066,35.72114,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,×,×,○,○,×,×,×,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_052_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_052_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_052_01_3.jpg,戸の形式は回転ドア（押しボタン）,201901,,
14,53,1,東日本旅客鉄道,山手線,高田馬場,東京都,新宿区高田馬場1丁目,,多機能化粧室,1F,139.7038,35.71346,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_053_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_053_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_053_01_3.jpg,,201901,,
14,54,1,東日本旅客鉄道,山手線/中央線,新宿,東京都,新宿区新宿3丁目,,多目的トイレ,B1F,139.7007,35.69099,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_054_01_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_054_01_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_054_01_3.jpg,,201901,,
14,54,2,東日本旅客鉄道,山手線/中央線,新宿,東京都,新宿区新宿3丁目,,多目的トイレ,B1F,139.7008,35.69031,JGD2011,共用,○,○,A.自動引き戸（押しボタン）,○,○,○,○,○,×,×,○,×,○,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,始発_終車,,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_054_02_1.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_054_02_2.jpg,http://www.opendata.metro.tokyo.jp/fukushihoken/wc-photos/14_054_02_3.jpg,,201901,,
