公衆・公園トイレ,公衆・公園トイレ,精華公園トイレ,蔵前４−１５−９,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.7890573,35.70364592
公衆・公園トイレ,公衆・公園トイレ,玉姫公園トイレ,清川２−１３−１８,０３−５２４６−１３２１,男女兼用,139.802296,35.72730905
公衆・公園トイレ,公衆・公園トイレ,山伏公園トイレ,北上野２−９−７,０３−５２４６−１３２１,男女兼用,139.783643,35.71666029
公衆・公園トイレ,公衆・公園トイレ,松葉公園トイレ,松が谷１−１２−６,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ,139.787188,35.71206394
公衆・公園トイレ,公衆・公園トイレ,御徒町公園トイレ,台東４−１３−３,０３−５２４６−１３２１,男女兼用、だれでもトイレ,139.7778169,35.70624721
公衆・公園トイレ,公衆・公園トイレ,金杉公園トイレ,下谷３−５−１２,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.7859024,35.72402483
公衆・公園トイレ,公衆・公園トイレ,小島公園トイレ,小島２−９−４,０３−５２４６−１３２１,男女兼用、だれでもトイレ,139.7842243,35.70556114
公衆・公園トイレ,公衆・公園トイレ,金竜公園トイレ,西浅草３−２５−７,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア、簡易型オストメイト,139.7900739,35.7166877
公衆・公園トイレ,公衆・公園トイレ,富士公園トイレ,浅草４−４７−２,０３−５２４６−１３２１,男女兼用,139.7975108,35.7185337
公衆・公園トイレ,公衆・公園トイレ,田原公園トイレ,雷門１−５−１５,０３−５２４６−１３２１,男女兼用,139.7929875,35.70978727
公衆・公園トイレ,公衆・公園トイレ,一葉記念公園トイレ,竜泉３−１９−１,０３−５２４６−１３２１,男女兼用、ベビーチェア,139.7925526,35.72563284
公衆・公園トイレ,公衆・公園トイレ,花川戸公園トイレ,花川戸２−５−６,０３−５２４６−１３２１,,139.7992606,35.71414599
公衆・公園トイレ,公衆・公園トイレ,鶯谷公園トイレ,根岸１−３−１７,０３−５２４６−１３２１,男女兼用,139.779395,35.72114285
公衆・公園トイレ,公衆・公園トイレ,竹町公園トイレ,台東４−２１−３,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ,139.7805045,35.7056488
公衆・公園トイレ,公衆・公園トイレ,待乳山聖天公園トイレ,浅草４−７−９,０３−５２４６−１３２１,男女兼用,139.8026853,35.71747474
公衆・公園トイレ,公衆・公園トイレ,上根岸公園トイレ,根岸３−９−６,０３−５２４６−１３２１,男性用、女性用,139.7788264,35.72331778
公衆・公園トイレ,公衆・公園トイレ,入谷南公園トイレ,松が谷３−２３−７,０３−５２４６−１３２１,男性用、女性用、だれでもトイレ、ベビーシート、ベビーチェア,139.7856486,35.71706299
